Date,Open,High,Low,Close,Adj Close,Volume
2012-01-04,51.2599983215332,52.25,51.25,52.2400016784668,43.987552642822266,5406400
2012-01-05,51.88999938964844,52.72999954223633,51.79999923706055,52.59000015258789,44.28226852416992,6330100
2012-01-06,52.75,53.41999816894531,52.47999954223633,52.779998779296875,44.44225311279297,5321700
2012-01-09,52.630001068115234,52.970001220703125,52.470001220703125,52.720001220703125,44.39174270629883,5079300
2012-01-10,52.959999084472656,53.040000915527344,52.369998931884766,52.619998931884766,44.30754852294922,7063200
2012-01-11,52.4900016784668,53.119998931884766,52.060001373291016,53.0099983215332,44.635929107666016,4281600
2012-01-12,53.220001220703125,53.2400016784668,52.529998779296875,52.869998931884766,44.51803970336914,4550300
2012-01-13,52.689998626708984,52.790000915527344,51.93000030517578,52.70000076293945,44.374908447265625,4995700
2012-01-17,53.04999923706055,53.63999938964844,52.869998931884766,53.56999969482422,45.107460021972656,6495700
2012-01-18,53.349998474121094,54.18000030517578,52.93000030517578,53.939998626708984,45.419010162353516,8389800
2012-01-19,52.310001373291016,53.02000045776367,51.41999816894531,52.31999969482422,44.0549201965332,18656600
2012-01-20,52.34000015258789,52.5099983215332,51.61000061035156,52.27000045776367,44.012821197509766,8873800
2012-01-23,52.20000076293945,53.04999923706055,51.959999084472656,52.43000030517578,44.14753341674805,7535900
2012-01-24,52.27000045776367,52.52000045776367,51.22999954223633,51.33000183105469,43.221317291259766,10397800
2012-01-25,50.630001068115234,51.650001525878906,49.81999969482422,51.56999969482422,43.42340087890625,13121500
2012-01-26,51.61000061035156,51.720001220703125,49.900001525878906,50.349998474121094,42.39612579345703,13576200
2012-01-27,50.34000015258789,51.2400016784668,50.31999969482422,51.02000045776367,42.96030044555664,7027300
2012-01-30,50.81999969482422,51.16999816894531,50.06999969482422,51.06999969482422,43.00239944458008,4852400
2012-01-31,51.400001525878906,52.880001068115234,51.380001068115234,51.790000915527344,43.608646392822266,8843000
2012-02-01,52.15999984741211,53.61000061035156,52.119998931884766,53.2599983215332,44.84642791748047,7480600
2012-02-02,53.25,53.25,52.0099983215332,52.540000915527344,44.240169525146484,5319200
2012-02-03,52.7400016784668,52.77000045776367,50.75,51.310001373291016,43.2044677734375,9676900
